Nuts_kod;Nuts_nazev;Celkem;Muzi;Zeny;Vek_celkem;Vek_muzi;Vek_zeny
CZ0;Èeská republika;10701777;5275103;5426674;42.5807892932174;41.1487666686319;43.9728144716266
CZ01;Praha;1335084;653654;681430;41.9683630393294;40.5297894604791;43.3482984312402
CZ02;Støední Èechy;1397997;691986;706011;41.3782493810788;40.1727867326796;42.5597653577635
CZ03;Jihozápad;1234592;611866;622726;42.9446108511962;41.6799364566752;44.1872300176964
CZ04;Severozápad;1110315;550290;560025;42.6180259656044;41.2601737265805;43.9522744520334
CZ05;Severovýchod;1516135;749316;766819;42.8775369607588;41.4207543946746;44.3010677878352
CZ06;Jihovýchod;1704179;840615;863564;42.7224091483348;41.255174485347;44.15065241256
CZ07;Støední Morava;1210641;593303;617338;43.2545961189155;41.6295004407529;44.8164214741357
CZ08;Moravskoslezsko;1192834;584073;608761;43.0010311577302;41.3459627478072;44.5889790903162
CZ010;Hlavní mìsto Praha;1335084;653654;681430;41.9683630393294;40.5297894604791;43.3482984312402
CZ020;Støedoèeský kraj;1397997;691986;706011;41.3782493810788;40.1727867326796;42.5597653577635
CZ031;Jihoèeský kraj;643551;318048;325503;42.9611165237875;41.6579321360298;44.2344540603312
CZ032;Plzeòský kraj;591041;293818;297223;42.9266387611012;41.7037553859872;44.1355127294994
CZ041;Karlovarský kraj;293311;145013;148298;43.2838369512224;41.9357126602443;44.6020984773901
CZ042;Ústecký kraj;817004;405277;411727;42.3789944724873;41.0184577461835;43.7182174110515
CZ051;Liberecký kraj;442476;217847;224629;42.4275666928828;40.9866121635827;43.8250159151312
CZ052;Královéhradecký kraj;550803;271680;279123;43.4153672002513;41.9203585100118;44.8705104917904
CZ053;Pardubický kraj;522856;259789;263067;42.6917545174962;41.2623340480159;44.103363401719
CZ063;Kraj Vysoèina;508852;253153;255699;43.0278234142737;41.6626012727481;44.3794520119359
CZ064;Jihomoravský kraj;1195327;587462;607865;42.5923939641621;41.079603446691;44.0544076398542
CZ071;Olomoucký kraj;630522;308718;321804;43.10978839755;41.553566685454;44.6027271258281
CZ072;Zlínský kraj;580119;284585;295534;43.4119852995678;41.711873429731;45.049111100584
CZ080;Moravskoslezský kraj;1192834;584073;608761;43.0010311577302;41.3459627478072;44.5889790903162
CZ0201;Benešov;99742;49336;50406;42.6426680836558;41.4011269661099;43.8578542237035
CZ0202;Beroun;96403;47682;48721;41.3464881798284;40.1161654293025;42.5505736745962
CZ0203;Kladno;166845;81824;85021;42.0352392939555;40.6701212358232;43.3490255348679
CZ0204;Kolín;103932;51749;52183;41.8992321902783;40.4418732729135;43.3444704214016
CZ0205;Kutná Hora;76310;37888;38422;43.3027781417901;41.9555268158784;44.631304981521
CZ0206;Mìlník;109987;54555;55432;41.58048223881;40.2809549995417;42.8594494155001
CZ0207;Mladá Boleslav;131042;66463;64579;41.751209535874;40.6160194393873;42.9195171805076
CZ0208;Nymburk;101539;49872;51667;41.4528161593082;40.2153713506577;42.6472700176128
CZ0209;Praha-východ;188939;93450;95489;38.839130618877;37.9054895666132;39.7528354051252
CZ020A;Praha-západ;152285;74616;77669;39.2214761795318;38.3596413637826;40.0494341371718
CZ020B;Pøíbram;115236;56832;58404;43.0846610434239;41.6619158220721;44.4691117046778
CZ020C;Rakovník;55737;27719;28018;43.1576421407683;41.7958620440853;44.5048897137554
CZ0311;Èeské Budìjovice;196602;96333;100269;42.1968901638844;40.8979736954107;43.4448184384007
CZ0312;Èeský Krumlov;61320;30943;30377;41.9660143509459;40.9277219403419;43.023652763604
CZ0313;Jindøichùv Hradec;90279;44524;45755;43.725977248308;42.40110951397;45.0152005245328
CZ0314;Písek;71588;35327;36261;43.7882047270492;42.4386588162029;45.1029894376879
CZ0315;Prachatice;50779;25477;25302;42.7932314539475;41.5607214350198;44.0342660659236
CZ0316;Strakonice;70532;34888;35644;43.3825922985312;41.9071027287319;44.8267871170463
CZ0317;Tábor;102451;50556;51895;43.5643819972475;42.229923253422;44.8644089025918
CZ0321;Domažlice;55268;27525;27743;42.6941629876239;41.6413987284287;43.7386547958043
CZ0322;Klatovy;86253;42751;43502;44.0108112181605;42.7062173984234;45.2928830858351
CZ0323;Plzeò-mìsto;194840;95417;99423;43.1003130773968;41.6498475114497;44.4923357774358
CZ0324;Plzeò-jih;70131;35506;34625;42.8767235601945;41.8527009519518;43.9268014440433
CZ0325;Plzeò-sever;80671;40398;40273;42.0982943065042;41.0984702212981;43.1012216621558
CZ0326;Rokycany;49489;24786;24703;43.0613166562266;41.7974259662713;44.3294539124803
CZ0327;Tachov;54389;27435;26954;41.9918090054974;41.0055950428285;42.9956221711063
CZ0411;Cheb;91434;45185;46249;43.0646805345933;41.6147062078123;44.4812968929058
CZ0412;Karlovy Vary;114374;56215;58159;44.049320649798;42.6979542826648;45.3555167729844
CZ0413;Sokolov;87503;43613;43890;42.5122852930757;41.2857978125788;43.731032125769
CZ0421;Dìèín;128449;63444;65005;42.6948477605898;41.2854801084421;44.0703715098839
CZ0422;Chomutov;124600;62271;62329;41.9641733547352;40.7575356104768;43.1696882670988
CZ0423;Litomìøice;119177;59165;60012;42.5435067169001;41.1927237386969;43.875224955009
CZ0424;Louny;86364;42717;43647;42.2839145940438;41.0661212163776;43.4757600751484
CZ0425;Most;110933;55121;55812;42.454711402378;40.9772591208432;43.9138715688382
CZ0426;Teplice;128830;64390;64440;42.4468912520376;41.0964901382202;43.7962445685909
CZ0427;Ústí nad Labem;118651;58169;60482;42.2321303655258;40.7469528442985;43.6605105651268
CZ0511;Èeská Lípa;102998;50832;52166;42.0733606477796;40.6890934844193;43.4222290380708
CZ0512;Jablonec nad Nisou;91533;44817;46716;42.8137556946675;41.2098868732847;44.3524274338556
CZ0513;Liberec;175465;86160;89305;41.9968683213176;40.6414809656453;43.3045238228543
CZ0514;Semily;72480;36038;36442;43.4858719646799;41.9537432709917;45.0010153120026
CZ0521;Hradec Králové;164435;80335;84100;43.4805211785812;41.8908508122238;44.9990249702735
CZ0522;Jièín;80134;39844;40290;43.3398931789253;41.9300020078305;44.7341772151899
CZ0523;Náchod;109487;53981;55506;43.6111821494789;42.072497730683;45.1075919720391
CZ0524;Rychnov nad Knìžnou;79333;39565;39768;42.8304047495998;41.5128901807153;44.1411939247636
CZ0525;Trutnov;117414;57955;59459;43.5882773774848;42.0910965404193;45.0475874131755
CZ0531;Chrudim;104708;52080;52628;42.9101596821637;41.4548387096774;44.3503268222239
CZ0532;Pardubice;176137;87707;88430;42.593410243163;41.0968736816902;44.0777111839873
CZ0533;Svitavy;104000;51419;52581;42.7380384615385;41.3993951652113;44.0470987619102
CZ0534;Ústí nad Orlicí;138011;68583;69428;42.616686351088;41.2249901579109;43.9914443740278
CZ0631;Havlíèkùv Brod;94612;46986;47626;43.2378979410646;41.9389179755672;44.519422164364
CZ0632;Jihlava;113664;56593;57071;42.4845069679054;41.1282049016663;43.8294492824727
CZ0633;Pelhøimov;72298;36040;36258;43.8112257600487;42.3860987791343;45.2277842131392
CZ0634;Tøebíè;110337;54793;55544;43.3834570452341;41.9866315040242;44.7613963704451
CZ0635;Žïár nad Sázavou;117941;58741;59200;42.5699841446147;41.2102875334094;43.9191385135135
CZ0641;Blansko;109104;53751;55353;42.7323929461798;41.3160034231921;44.1077900023486
CZ0642;Brno-mìsto;382405;185967;196438;42.9189537270695;41.1444584254196;44.5988607092314
CZ0643;Brno-venkov;226442;112072;114370;41.1550065800514;39.9211399814405;42.3640814899012
CZ0644;Bøeclav;116482;57390;59092;43.0175821156917;41.5183132949991;44.4736681784336
CZ0645;Hodonín;153607;75793;77814;43.8335785478526;42.1817780006069;45.4424782172874
CZ0646;Vyškov;92735;45894;46841;42.0080606027929;40.7332113130257;43.2571358425311
CZ0647;Znojmo;114552;56595;57957;42.5866244151128;41.2959890449686;43.8469296202357
CZ0711;Jeseník;37709;18705;19004;44.1357103078841;42.7380112269447;45.5114186487055
CZ0712;Olomouc;235441;114600;120841;42.5150653454581;40.9820942408377;43.9688640444882
CZ0713;Prostìjov;108504;53011;55493;43.0941347784414;41.5202222180302;44.5976519561026
CZ0714;Pøerov;128901;63420;65481;43.6589669591392;42.0032954903816;45.2625265344146
CZ0715;Šumperk;119967;58982;60985;43.3785666058166;41.8346953307789;44.871730753464
CZ0721;Kromìøíž;104826;51278;53548;43.5313853433309;41.8514567650844;45.1400986031224
CZ0722;Uherské Hradištì;141630;69610;72020;43.5870719480336;41.9480247090935;45.1712718689253
CZ0723;Vsetín;141896;69803;72093;43.0778809832553;41.3526137845078;44.7483458865632
CZ0724;Zlín;191767;93894;97873;43.4646237360964;41.7276503290945;45.1309809651283
CZ0801;Bruntál;90971;45001;45970;43.5685822954568;41.9646563409702;45.1386991516206
CZ0802;Frýdek-Místek;214587;105788;108799;42.6026297026381;41.1399213521382;44.0248577652368
CZ0803;Karviná;242779;118488;124291;43.6589223120616;41.8615049625279;45.3724203683292
CZ0804;Nový Jièín;151398;74646;76752;42.3562794752903;40.8951584813654;43.7773087346258
CZ0805;Opava;175777;86074;89703;42.7493329616503;41.1645793154727;44.2699742483529
CZ0806;Ostrava-mìsto;317322;154076;163246;43.051439862348;41.2299968846543;44.7705671195619
